Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A Spectral Count	B Spectral Count	C Spectral Count	D Spectral Count	E Spectral Count	A Unique Spectral Count	B Unique Spectral Count	C Unique Spectral Count	D Unique Spectral Count	E Unique Spectral Count	A Total Spectral Count	B Total Spectral Count	C Total Spectral Count	D Total Spectral Count	E Total Spectral Count	A Intensity	B Intensity	C Intensity	D Intensity	E Intensity	Indistinguishable Proteins
sp|Q9NXB0|MKS1_HUMAN	Q9NXB0	MKS1_HUMAN	MKS1	559	Homo sapiens	1:Experimental evidence at protein level	Tectonic-like complex member MKS1	1.0	0.999	8	20	20	20	3	1	3	8	5	3	1	3	8	5	3	1	3	8	5	1.1011744E8	1.1144664E7	7.3724024E7	1.500611E8	6.296747E7	
sp|Q9NXB9|ELOV2_HUMAN	Q9NXB9	ELOV2_HUMAN	ELOVL2	296	Homo sapiens	1:Experimental evidence at protein level	Very long chain fatty acid elongase 2	0.9994	0.999	2	13	13	13	4	1	2	2	4	4	1	2	2	4	4	1	2	2	4	3.2045962E8	3.8729596E7	5.727651E7	1.6443555E8	2.1398707E8	
sp|Q9NXC2|GFOD1_HUMAN	Q9NXC2	GFOD1_HUMAN	GFOD1	390	Homo sapiens	1:Experimental evidence at protein level	Glucose-fructose oxidoreductase domain-containing protein 1	1.0	0.999	5	16	16	16	2	3	3	3	5	2	3	3	3	5	2	3	3	3	5	1.9137888E8	2.1053011E8	1.3910222E8	1.412881E8	3.0623638E8	
sp|Q9NXC5|MIOS_HUMAN	Q9NXC5	MIOS_HUMAN	MIOS	875	Homo sapiens	1:Experimental evidence at protein level	GATOR2 complex protein MIOS	1.0	0.999	22	129	129	129	22	18	25	37	27	22	18	25	37	27	22	18	25	37	27	2.4329165E9	1.5763932E9	3.9309568E9	3.2462863E9	5.3009787E9	
sp|Q9NXD2|MTMRA_HUMAN	Q9NXD2	MTMRA_HUMAN	MTMR10	777	Homo sapiens	1:Experimental evidence at protein level	Myotubularin-related protein 10	1.0	0.999	15	81	81	81	12	8	19	18	24	12	8	19	18	24	12	8	19	18	24	7.960449E8	9.489032E8	9.993368E8	1.3790188E9	1.4310661E9	
sp|Q9NXE4|NSMA3_HUMAN	Q9NXE4	NSMA3_HUMAN	SMPD4	866	Homo sapiens	1:Experimental evidence at protein level	Sphingomyelin phosphodiesterase 4	1.0	0.999	14	131	131	131	35	21	26	23	26	35	21	26	23	26	35	21	26	23	26	7.1447337E9	4.0555471E9	2.4943475E9	2.070893E9	5.212469E9	
sp|Q9NXE8|CWC25_HUMAN	Q9NXE8	CWC25_HUMAN	CWC25	425	Homo sapiens	1:Experimental evidence at protein level	Pre-mRNA-splicing factor CWC25 homolog	1.0	0.999	8	26	26	26	4	3	8	2	9	4	3	8	2	9	4	3	8	2	9	2.8191734E8	1.2092691E8	3.7042934E8	1.0887635E8	1.3543319E9	
sp|Q9NXF1|TEX10_HUMAN	Q9NXF1	TEX10_HUMAN	TEX10	929	Homo sapiens	1:Experimental evidence at protein level	Testis-expressed protein 10	1.0	0.999	17	141	141	141	36	24	27	24	30	36	24	27	24	30	36	24	27	24	30	7.2234163E9	3.0435878E9	2.4054715E9	2.0761522E9	3.2491105E9	
sp|Q9NXF7|DCA16_HUMAN	Q9NXF7	DCA16_HUMAN	DCAF16	216	Homo sapiens	1:Experimental evidence at protein level	DDB1- and CUL4-associated factor 16	0.9764	0.999	1	7	7	7	1	1	1	1	3	1	1	1	1	3	1	1	1	1	3	1.8304827E8	1.3439362E8	1.709747E8	2.692671E8	2.359771E8	
sp|Q9NXF8|ZDHC7_HUMAN	Q9NXF8	ZDHC7_HUMAN	ZDHHC7	308	Homo sapiens	1:Experimental evidence at protein level	Palmitoyltransferase ZDHHC7	1.0	0.999	2	21	21	21	4	3	4	6	4	4	3	4	6	4	4	3	4	6	4	3.9698774E8	2.3598582E8	5.471495E8	4.101754E8	6.712394E8	
sp|Q9NXG0|CNTLN_HUMAN	Q9NXG0	CNTLN_HUMAN	CNTLN	1405	Homo sapiens	1:Experimental evidence at protein level	Centlein	1.0	0.999	19	39	39	39	8	3	7	12	9	8	3	7	12	9	8	3	7	12	9	1.2083286E8	6.6810656E7	1.0697592E8	1.6315611E8	2.8796858E8	
sp|Q9NXG2|THUM1_HUMAN	Q9NXG2	THUM1_HUMAN	THUMPD1	353	Homo sapiens	1:Experimental evidence at protein level	THUMP domain-containing protein 1	1.0	0.999	17	214	214	214	40	35	42	46	51	40	35	42	46	51	40	35	42	46	51	1.3154169E10	8.570442E9	1.3047513E10	1.6941736E10	3.6280914E10	
sp|Q9NXG6|P4HTM_HUMAN	Q9NXG6	P4HTM_HUMAN	P4HTM	502	Homo sapiens	1:Experimental evidence at protein level	Transmembrane prolyl 4-hydroxylase	1.0	0.999	6	21	21	21	5	3	5	3	5	5	3	5	3	5	5	3	5	3	5	7.223506E8	3.7841037E8	3.7803936E8	2.714644E8	4.1845133E8	
sp|Q9NXH8|TOR4A_HUMAN	Q9NXH8	TOR4A_HUMAN	TOR4A	423	Homo sapiens	1:Experimental evidence at protein level	Torsin-4A	1.0	0.999	8	43	43	43	10	9	8	9	7	10	9	8	9	7	10	9	8	9	7	1.2283907E9	9.924958E8	4.559394E8	9.817875E8	6.284571E8	
sp|Q9NXH9|TRM1_HUMAN	Q9NXH9	TRM1_HUMAN	TRMT1	659	Homo sapiens	1:Experimental evidence at protein level	tRNA (guanine(26)-N(2))-dimethyltransferase	1.0	0.999	12	60	60	60	15	8	14	11	12	15	8	14	11	12	15	8	14	11	12	1.5257892E9	8.818864E8	1.0463289E9	1.4900388E9	1.3750493E9	
sp|Q9NXJ5|PGPI_HUMAN	Q9NXJ5	PGPI_HUMAN	PGPEP1	209	Homo sapiens	1:Experimental evidence at protein level	Pyroglutamyl-peptidase 1	1.0	0.999	2	9	9	9	1	1	3	2	2	1	1	3	2	2	1	1	3	2	2	2.7350957E8	1.9257693E8	6.2784876E7	3.2941034E8	5.400072E7	
sp|Q9NXK8|FXL12_HUMAN	Q9NXK8	FXL12_HUMAN	FBXL12	326	Homo sapiens	1:Experimental evidence at protein level	F-box/LRR-repeat protein 12	1.0	0.999	4	16	16	16	1	3	4	5	3	1	3	4	5	3	1	3	4	5	3	7.190344E7	1.4069565E8	1.3083584E8	1.560209E8	5.5348936E7	
sp|Q9NXL2|ARH38_HUMAN	Q9NXL2	ARH38_HUMAN	ARHGEF38	777	Homo sapiens	1:Experimental evidence at protein level	Rho guanine nucleotide exchange factor 38	1.0	0.999	16	55	55	55	6	11	10	15	13	6	11	10	15	13	6	11	10	15	13	3.1705398E8	5.1097744E8	3.4474858E8	8.714384E8	1.0719776E9	
sp|Q9NXL6|SIDT1_HUMAN	Q9NXL6	SIDT1_HUMAN	SIDT1	827	Homo sapiens	1:Experimental evidence at protein level	SID1 transmembrane family member 1	1.0	0.999	4	20	20	20	4	3	4	5	4	4	3	4	5	4	4	3	4	5	4	2.2956749E8	1.5052278E8	2.4595474E8	4.0444E8	3.0702992E8	
sp|Q9NXL9|MCM9_HUMAN	Q9NXL9	MCM9_HUMAN	MCM9	1143	Homo sapiens	1:Experimental evidence at protein level	DNA helicase MCM9	0.9987	0.999	2	3	3	3	0	0	2	0	1	0	0	2	0	1	0	0	2	0	1	0.0	0.0	3.1526808E7	0.0	2.011289E7	
sp|Q9NXN4|GDAP2_HUMAN	Q9NXN4	GDAP2_HUMAN	GDAP2	497	Homo sapiens	1:Experimental evidence at protein level	Ganglioside-induced differentiation-associated protein 2	1.0	0.999	9	31	31	31	7	5	4	7	8	7	5	4	7	8	7	5	4	7	8	1.0799828E9	8.861415E8	3.4780333E8	9.53823E8	8.6780646E8	
sp|Q9NXR1|NDE1_HUMAN	Q9NXR1	NDE1_HUMAN	NDE1	335	Homo sapiens	1:Experimental evidence at protein level	Nuclear distribution protein nudE homolog 1	1.0	0.999	12	102	81	102	21	19	15	23	24	17	15	12	20	17	21	19	15	23	24	4.106765E9	2.2935022E9	2.7817436E9	4.3744404E9	5.768606E9	
sp|Q9NXR5|ANR10_HUMAN	Q9NXR5	ANR10_HUMAN	ANKRD10	420	Homo sapiens	1:Experimental evidence at protein level	Ankyrin repeat domain-containing protein 10	1.0	0.999	6	24	24	24	4	3	6	3	8	4	3	6	3	8	4	3	6	3	8	1.8393456E8	9.896723E7	2.5344814E8	5.144107E7	4.310466E8	
sp|Q9NXR7|BABA2_HUMAN	Q9NXR7	BABA2_HUMAN	BABAM2	383	Homo sapiens	1:Experimental evidence at protein level	BRISC and BRCA1-A complex member 2	1.0	0.999	7	25	25	25	5	2	6	7	5	5	2	6	7	5	5	2	6	7	5	4.827689E8	1.4901067E8	4.4785027E8	5.0482208E8	2.2336373E8	
sp|Q9NXR8|ING3_HUMAN	Q9NXR8	ING3_HUMAN	ING3	418	Homo sapiens	1:Experimental evidence at protein level	Inhibitor of growth protein 3	1.0	0.999	7	33	33	33	9	7	6	5	6	9	7	6	5	6	9	7	6	5	6	4.9837363E8	3.9898262E8	3.1108218E8	4.7872714E8	3.6088314E8	
sp|Q9NXS2|QPCTL_HUMAN	Q9NXS2	QPCTL_HUMAN	QPCTL	382	Homo sapiens	1:Experimental evidence at protein level	Glutaminyl-peptide cyclotransferase-like protein	1.0	0.999	5	30	30	30	4	4	6	9	7	4	4	6	9	7	4	4	6	9	7	4.7234605E8	3.734353E8	4.535477E8	1.2640276E9	8.451574E8	
sp|Q9NXT0|ZN586_HUMAN	Q9NXT0	ZN586_HUMAN	ZNF586	402	Homo sapiens	2:Experimental evidence at transcript level	Zinc finger protein 586	1.0	0.999	4	7	2	7	3	0	1	2	1	2	0	0	0	0	3	0	1	2	1	1.12590216E8	0.0	1.3019346E7	2.699778E7	5804254.0	
sp|Q9NXU5|ARL15_HUMAN	Q9NXU5	ARL15_HUMAN	ARL15	204	Homo sapiens	1:Experimental evidence at protein level	ADP-ribosylation factor-like protein 15	1.0	0.999	7	38	38	38	8	6	6	8	10	8	6	6	8	10	8	6	6	8	10	1.5564421E9	1.1682308E9	1.1464324E9	1.2351382E9	1.8963703E9	
sp|Q9NXV2|KCTD5_HUMAN	Q9NXV2	KCTD5_HUMAN	KCTD5	234	Homo sapiens	1:Experimental evidence at protein level	BTB/POZ domain-containing protein KCTD5	1.0	0.999	5	27	27	27	8	7	5	2	5	8	7	5	2	5	8	7	5	2	5	8.762484E8	6.9342803E8	2.2053051E8	2.8540608E8	2.740427E8	
sp|Q9NXV6|CARF_HUMAN	Q9NXV6	CARF_HUMAN	CDKN2AIP	580	Homo sapiens	1:Experimental evidence at protein level	CDKN2A-interacting protein	1.0	0.999	12	84	84	84	20	15	17	19	13	20	15	17	19	13	20	15	17	19	13	3.5111017E9	2.8280689E9	1.936103E9	2.988563E9	6.332156E9	
sp|Q9NXW2|DJB12_HUMAN	Q9NXW2	DJB12_HUMAN	DNAJB12	375	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily B member 12	1.0	0.999	12	108	89	108	27	14	24	23	20	22	12	20	18	17	27	14	24	23	20	5.714345E9	3.037714E9	2.7535222E9	3.4236483E9	6.749628E9	
sp|Q9NXW9|ALKB4_HUMAN	Q9NXW9	ALKB4_HUMAN	ALKBH4	302	Homo sapiens	1:Experimental evidence at protein level	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4	1.0	0.999	8	38	38	38	7	6	9	7	9	7	6	9	7	9	7	6	9	7	9	9.417561E8	5.7382714E8	6.8759936E8	1.01915584E9	1.3770495E9	
sp|Q9NXX6|NSE4A_HUMAN	Q9NXX6	NSE4A_HUMAN	NSMCE4A	385	Homo sapiens	1:Experimental evidence at protein level	Non-structural maintenance of chromosomes element 4 homolog A	1.0	0.999	12	65	65	65	16	13	14	14	8	16	13	14	14	8	16	13	14	14	8	1.3025562E9	8.5763725E8	6.416675E8	8.1258586E8	8.320626E8	
sp|Q9NY12|GAR1_HUMAN	Q9NY12	GAR1_HUMAN	GAR1	217	Homo sapiens	1:Experimental evidence at protein level	H/ACA ribonucleoprotein complex subunit 1	1.0	0.999	6	139	139	139	29	32	26	31	21	29	32	26	31	21	29	32	26	31	21	1.8799935E10	1.3741158E10	1.1824925E10	2.1744177E10	2.3013728E10	
sp|Q9NY15|STAB1_HUMAN	Q9NY15	STAB1_HUMAN	STAB1	2570	Homo sapiens	1:Experimental evidence at protein level	Stabilin-1	1.0	0.999	28	201	201	201	36	31	45	43	46	36	31	45	43	46	36	31	45	43	46	5.3573586E9	3.772998E9	8.1857654E9	4.8296064E9	6.5524915E9	
sp|Q9NY25|CLC5A_HUMAN	Q9NY25	CLC5A_HUMAN	CLEC5A	188	Homo sapiens	1:Experimental evidence at protein level	C-type lectin domain family 5 member A	1.0	0.999	3	9	9	9	3	1	1	3	1	3	1	1	3	1	3	1	1	3	1	1.2113021E8	1.18432584E8	8.031838E7	4.3802166E8	7.581482E7	
sp|Q9NY26|S39A1_HUMAN	Q9NY26	S39A1_HUMAN	SLC39A1	324	Homo sapiens	1:Experimental evidence at protein level	Zinc transporter ZIP1	0.9764	0.999	1	7	7	7	2	2	1	1	1	2	2	1	1	1	2	2	1	1	1	4.4311795E8	2.5864931E8	2.5223688E8	3.8397357E8	5.7097395E8	
sp|Q9NY27|PP4R2_HUMAN	Q9NY27	PP4R2_HUMAN	PPP4R2	417	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 4 regulatory subunit 2	1.0	0.999	19	179	179	179	32	27	39	44	37	32	27	39	44	37	32	27	39	44	37	5.4083154E9	5.497919E9	5.039273E9	5.6285174E9	7.5988173E9	
sp|Q9NY33|DPP3_HUMAN	Q9NY33	DPP3_HUMAN	DPP3	737	Homo sapiens	1:Experimental evidence at protein level	Dipeptidyl peptidase 3	1.0	0.999	32	501	501	501	85	63	86	155	112	85	63	86	155	112	85	63	86	155	112	4.1483616E10	3.6002914E10	5.6282878E10	1.1897937E11	1.1523339E11	
sp|Q9NY35|CLDN1_HUMAN	Q9NY35	CLDN1_HUMAN	CLDND1	253	Homo sapiens	1:Experimental evidence at protein level	Claudin domain-containing protein 1	1.0	0.999	5	27	27	27	5	6	6	3	7	5	6	6	3	7	5	6	6	3	7	6.8104576E8	2.204051E8	4.3983034E8	7.980824E8	1.2460256E9	
sp|Q9NY47|CA2D2_HUMAN	Q9NY47	CA2D2_HUMAN	CACNA2D2	1150	Homo sapiens	1:Experimental evidence at protein level	Voltage-dependent calcium channel subunit alpha-2/delta-2	1.0	0.999	19	90	90	111	20	13	21	21	15	20	13	21	21	15	26	17	24	24	20	1.9357178E9	1.4271933E9	2.0324804E9	1.60772E9	2.0523213E9	
sp|Q9NY56|OBP2A_HUMAN	Q9NY56	OBP2A_HUMAN	OBP2A	170	Homo sapiens	1:Experimental evidence at protein level	Odorant-binding protein 2a	0.9764	0.999	2	2	2	4	0	0	2	0	0	0	0	2	0	0	0	1	2	0	1	0.0	0.0	1.6155102E7	0.0	0.0	
sp|Q9NY57|ST32B_HUMAN	Q9NY57	ST32B_HUMAN	STK32B	414	Homo sapiens	2:Experimental evidence at transcript level	Serine/threonine-protein kinase 32B	0.9983	0.999	3	6	3	6	1	2	0	2	1	1	1	0	1	0	1	2	0	2	1	4.426228E7	1.8294044E7	0.0	3.2460906E7	1.8670728E7	
sp|Q9NY59|NSMA2_HUMAN	Q9NY59	NSMA2_HUMAN	SMPD3	655	Homo sapiens	1:Experimental evidence at protein level	Sphingomyelin phosphodiesterase 3	1.0	0.999	12	44	44	44	4	3	7	18	12	4	3	7	18	12	4	3	7	18	12	2.3356037E8	1.4918032E8	2.4648547E8	1.264322E9	7.289621E8	
sp|Q9NY61|AATF_HUMAN	Q9NY61	AATF_HUMAN	AATF	560	Homo sapiens	1:Experimental evidence at protein level	Protein AATF	1.0	0.999	15	98	98	98	23	17	21	16	21	23	17	21	16	21	23	17	21	16	21	4.0168236E9	1.6742459E9	1.8153624E9	2.6433897E9	3.1954166E9	
sp|Q9NY65|TBA8_HUMAN	Q9NY65	TBA8_HUMAN	TUBA8	449	Homo sapiens	1:Experimental evidence at protein level	Tubulin alpha-8 chain	1.0	0.999	17	23	23	696	3	5	2	5	8	3	5	2	5	8	122	113	146	166	149	1.3817957E8	1.4702747E8	5.939123E7	2.6289546E8	1.2553377E8	
sp|Q9NY74|ETAA1_HUMAN	Q9NY74	ETAA1_HUMAN	ETAA1	926	Homo sapiens	1:Experimental evidence at protein level	Ewing's tumor-associated antigen 1	1.0	0.999	7	13	13	13	3	4	2	0	4	3	4	2	0	4	3	4	2	0	4	1.0023456E8	6.963346E7	3.2096138E7	0.0	5.1210902E8	
sp|Q9NY93|DDX56_HUMAN	Q9NY93	DDX56_HUMAN	DDX56	547	Homo sapiens	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX56	1.0	0.999	12	71	71	71	16	16	10	13	16	16	16	10	13	16	16	16	10	13	16	2.643838E9	1.8114847E9	1.4485386E9	2.0243967E9	4.2924972E9	
sp|Q9NY97|B3GN2_HUMAN	Q9NY97	B3GN2_HUMAN	B3GNT2	397	Homo sapiens	1:Experimental evidence at protein level	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2	0.9994	0.999	2	9	9	20	2	1	1	3	2	2	1	1	3	2	4	3	4	5	4	2.089457E8	1.04519656E8	2.9533907E8	3.7697875E8	4.149349E8	
sp|Q9NYA4|MTMR4_HUMAN	Q9NYA4	MTMR4_HUMAN	MTMR4	1195	Homo sapiens	1:Experimental evidence at protein level	Myotubularin-related protein 4	1.0	0.999	6	8	8	8	2	0	0	3	3	2	0	0	3	3	2	0	0	3	3	1.8717213E8	0.0	0.0	4.070825E7	4.376283E7	
sp|Q9NYB0|TE2IP_HUMAN	Q9NYB0	TE2IP_HUMAN	TERF2IP	399	Homo sapiens	1:Experimental evidence at protein level	Telomeric repeat-binding factor 2-interacting protein 1	1.0	0.999	14	126	126	126	27	14	28	25	32	27	14	28	25	32	27	14	28	25	32	6.0395766E9	3.3430057E9	5.865952E9	5.692307E9	6.602358E9	
sp|Q9NYB9|ABI2_HUMAN	Q9NYB9	ABI2_HUMAN	ABI2	513	Homo sapiens	1:Experimental evidence at protein level	Abl interactor 2	1.0	0.999	4	37	37	37	4	7	10	8	8	4	7	10	8	8	4	7	10	8	8	9.096055E8	6.999654E8	1.0580809E9	1.0973819E9	9.764367E8	
sp|Q9NYD6|HXC10_HUMAN	Q9NYD6	HXC10_HUMAN	HOXC10	342	Homo sapiens	1:Experimental evidence at protein level	Homeobox protein Hox-C10	1.0	0.999	6	18	18	18	1	1	4	6	6	1	1	4	6	6	1	1	4	6	6	5.9118308E7	2.1603226E7	1.3986507E8	1.6101648E8	3.7148973E8	
sp|Q9NYF0|DACT1_HUMAN	Q9NYF0	DACT1_HUMAN	DACT1	836	Homo sapiens	1:Experimental evidence at protein level	Dapper homolog 1	1.0	0.999	9	14	14	14	2	1	1	6	4	2	1	1	6	4	2	1	1	6	4	4.456034E7	3.8348868E7	2680441.8	1.4222243E8	1.4588712E8	
sp|Q9NYF3|FA53C_HUMAN	Q9NYF3	FA53C_HUMAN	FAM53C	392	Homo sapiens	1:Experimental evidence at protein level	Protein FAM53C	0.9474	0.9959	2	2	2	2	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0.0	0.0	714038.5	0.0	3579952.5	
sp|Q9NYF5|FA13B_HUMAN	Q9NYF5	FA13B_HUMAN	FAM13B	915	Homo sapiens	1:Experimental evidence at protein level	Protein FAM13B	1.0	0.999	7	8	8	8	2	0	2	1	3	2	0	2	1	3	2	0	2	1	3	1.1728754E8	0.0	1.2011279E7	223783.12	2.8974064E7	
sp|Q9NYF8|BCLF1_HUMAN	Q9NYF8	BCLF1_HUMAN	BCLAF1	920	Homo sapiens	1:Experimental evidence at protein level	Bcl-2-associated transcription factor 1	1.0	0.999	32	295	295	308	70	32	65	68	60	70	32	65	68	60	73	35	67	70	63	2.3678343E10	1.4438316E10	2.0431639E10	2.343761E10	2.6332525E10	
sp|Q9NYG5|APC11_HUMAN	Q9NYG5	APC11_HUMAN	ANAPC11	84	Homo sapiens	1:Experimental evidence at protein level	Anaphase-promoting complex subunit 11	0.7261	0.9846	1	2	2	2	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0.0	1.2432177E7	0.0	0.0	2420924.0	
sp|Q9NYH9|UTP6_HUMAN	Q9NYH9	UTP6_HUMAN	UTP6	597	Homo sapiens	1:Experimental evidence at protein level	U3 small nucleolar RNA-associated protein 6 homolog	1.0	0.999	18	128	122	128	35	22	20	25	26	34	22	19	23	24	35	22	20	25	26	4.443338E9	2.3408028E9	3.1294723E9	2.9353162E9	4.611916E9	
sp|Q9NYI0|PSD3_HUMAN	Q9NYI0	PSD3_HUMAN	PSD3	1048	Homo sapiens	1:Experimental evidence at protein level	PH and SEC7 domain-containing protein 3	1.0	0.999	17	57	57	57	8	6	12	14	17	8	6	12	14	17	8	6	12	14	17	4.9252128E8	4.159932E8	5.648609E8	5.9785395E8	6.4144915E8	
sp|Q9NYJ1|COA4_HUMAN	Q9NYJ1	COA4_HUMAN	COA4	87	Homo sapiens	1:Experimental evidence at protein level	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial	0.9764	0.999	1	10	10	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6.698512E8	4.938176E8	5.3253555E8	7.979054E8	2.522735E8	
sp|Q9NYJ8|TAB2_HUMAN	Q9NYJ8	TAB2_HUMAN	TAB2	693	Homo sapiens	1:Experimental evidence at protein level	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	1.0	0.999	11	54	54	54	10	6	11	10	17	10	6	11	10	17	10	6	11	10	17	1.0226321E9	6.075417E8	7.005878E8	1.0252131E9	1.5830797E9	
sp|Q9NYK1|TLR7_HUMAN	Q9NYK1	TLR7_HUMAN	TLR7	1049	Homo sapiens	1:Experimental evidence at protein level	Toll-like receptor 7	1.0	0.999	13	59	59	59	9	7	15	13	15	9	7	15	13	15	9	7	15	13	15	7.771174E8	7.1110874E8	6.544119E8	9.481142E8	1.02119456E9	
sp|Q9NYK5|RM39_HUMAN	Q9NYK5	RM39_HUMAN	MRPL39	338	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein mL39	1.0	0.999	10	80	80	80	16	13	20	16	15	16	13	20	16	15	16	13	20	16	15	5.4978555E9	2.366917E9	5.383379E9	3.1048563E9	6.696598E9	
sp|Q9NYK6|EURL_HUMAN	Q9NYK6	EURL_HUMAN	EURL	297	Homo sapiens	1:Experimental evidence at protein level	Protein EURL homolog	1.0	0.999	3	9	9	9	4	1	1	1	2	4	1	1	1	2	4	1	1	1	2	1.9876496E8	1.3808878E7	1.0321107E7	9079717.0	2877095.2	
sp|Q9NYL2|M3K20_HUMAN	Q9NYL2	M3K20_HUMAN	MAP3K20	800	Homo sapiens	1:Experimental evidence at protein level	Mitogen-activated protein kinase kinase kinase 20	1.0	0.999	14	69	69	69	11	10	15	15	18	11	10	15	15	18	11	10	15	15	18	8.8713395E8	9.150317E8	1.2767393E9	1.7781256E9	1.849279E9	
sp|Q9NYL4|FKB11_HUMAN	Q9NYL4	FKB11_HUMAN	FKBP11	201	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP11	1.0	0.999	5	85	85	85	13	17	17	20	18	13	17	17	20	18	13	17	17	20	18	8.556621E9	8.772253E9	8.2047094E9	1.2968625E10	9.766675E9	
sp|Q9NYL5|CP39A_HUMAN	Q9NYL5	CP39A_HUMAN	CYP39A1	469	Homo sapiens	1:Experimental evidence at protein level	24-hydroxycholesterol 7-alpha-hydroxylase	0.9996	0.999	3	6	6	6	1	1	3	0	1	1	1	3	0	1	1	1	3	0	1	4.6841532E7	3.7301066E8	2.7324396E7	0.0	2.5738756E7	
sp|Q9NYL9|TMOD3_HUMAN	Q9NYL9	TMOD3_HUMAN	TMOD3	352	Homo sapiens	1:Experimental evidence at protein level	Tropomodulin-3	1.0	0.999	20	333	332	333	76	49	69	78	61	76	49	69	77	61	76	49	69	78	61	3.0423134E10	1.4998827E10	3.3983926E10	4.303886E10	5.4531002E10	
sp|Q9NYM9|BET1L_HUMAN	Q9NYM9	BET1L_HUMAN	BET1L	111	Homo sapiens	1:Experimental evidence at protein level	BET1-like protein	1.0	0.999	6	51	51	51	15	8	9	7	12	15	8	9	7	12	15	8	9	7	12	4.2099436E9	2.466102E9	1.9160413E9	1.9530815E9	2.9058286E9	
sp|Q9NYN1|RASLC_HUMAN	Q9NYN1	RASLC_HUMAN	RASL12	266	Homo sapiens	1:Experimental evidence at protein level	Ras-like protein family member 12	1.0	0.999	3	10	10	10	2	1	1	2	4	2	1	1	2	4	2	1	1	2	4	1.7363392E8	1.3154739E7	8.111314E7	9.577237E7	8.629765E7	
sp|Q9NYP3|DONS_HUMAN	Q9NYP3	DONS_HUMAN	DONSON	566	Homo sapiens	1:Experimental evidence at protein level	Protein downstream neighbor of Son	0.9764	0.999	2	2	2	2	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0.0	0.0	1064448.6	0.0	1.6783602E7	
sp|Q9NYP7|ELOV5_HUMAN	Q9NYP7	ELOV5_HUMAN	ELOVL5	299	Homo sapiens	1:Experimental evidence at protein level	Very long chain fatty acid elongase 5	1.0	0.999	2	32	32	32	8	4	5	10	5	8	4	5	10	5	8	4	5	10	5	1.6834058E9	7.438778E8	4.6753965E8	1.2536457E9	6.3385984E8	
sp|Q9NYP9|MS18A_HUMAN	Q9NYP9	MS18A_HUMAN	MIS18A	233	Homo sapiens	1:Experimental evidence at protein level	Protein Mis18-alpha	1.0	0.999	4	11	11	11	2	2	2	4	1	2	2	2	4	1	2	2	2	4	1	3.8971475E8	2.4185034E8	2.1316748E7	2.4593328E8	2.1723532E7	
sp|Q9NYQ6|CELR1_HUMAN	Q9NYQ6	CELR1_HUMAN	CELSR1	3014	Homo sapiens	1:Experimental evidence at protein level	Cadherin EGF LAG seven-pass G-type receptor 1	1.0	0.999	36	168	154	168	32	25	30	48	33	29	23	28	44	30	32	25	30	48	33	2.489683E9	2.3087939E9	2.9956032E9	5.082476E9	3.4446863E9	
sp|Q9NYQ7|CELR3_HUMAN	Q9NYQ7	CELR3_HUMAN	CELSR3	3312	Homo sapiens	1:Experimental evidence at protein level	Cadherin EGF LAG seven-pass G-type receptor 3	0.9998	0.9989	4	7	7	14	0	0	1	2	4	0	0	1	2	4	1	1	2	4	6	0.0	0.0	2826084.2	115590.73	6925145.0	
sp|Q9NYQ8|FAT2_HUMAN	Q9NYQ8	FAT2_HUMAN	FAT2	4349	Homo sapiens	1:Experimental evidence at protein level	Protocadherin Fat 2	1.0	0.999	27	49	49	49	5	1	23	4	16	5	1	23	4	16	5	1	23	4	16	1.4853096E8	1.2033617E7	5.476204E8	2.4917738E8	2.3476902E8	
sp|Q9NYR9|KBRS2_HUMAN	Q9NYR9	KBRS2_HUMAN	NKIRAS2	191	Homo sapiens	1:Experimental evidence at protein level	NF-kappa-B inhibitor-interacting Ras-like protein 2	0.9987	0.999	3	23	23	23	6	3	5	6	3	6	3	5	6	3	6	3	5	6	3	4.0061354E8	1.21337416E8	5.099757E8	4.6753366E8	7.1385184E8	
sp|Q9NYS0|KBRS1_HUMAN	Q9NYS0	KBRS1_HUMAN	NKIRAS1	192	Homo sapiens	1:Experimental evidence at protein level	NF-kappa-B inhibitor-interacting Ras-like protein 1	1.0	0.999	3	15	15	15	3	2	3	3	4	3	2	3	3	4	3	2	3	3	4	2.0413693E8	1.22546184E8	3.5683875E8	2.8392784E8	4.063038E8	
